video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ARyxuOKNLWQ&pp=ygUQcmVwdWJsaWNhbiBwYXJ0edIHCQmHCgGHKiGM7w%3D%3D,/@Abcnews4,ABC News 4,LIVE: House GOP leaders defend Trump's agenda and push for more of his policies,587,Streamed 7 hours,"House Republicans hold a press conference following a legislative meeting. Speaker Mike Johnson, among other republicans ...",2026-01-21 22:53:02.398028
/watch?v=JLHByPpG10w&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@LearnBright,Learn Bright,What Is a Republican? | Come learn all about the Republican party for kids,23K,5 years,"Have you ever wondered what a republican really is or what they believe in? In this video, we will explore all about that party and ...",2026-01-21 22:53:02.399938
/watch?v=EMfjbbU8pTs&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@TheNationalDesk,The National Desk,Vance responds to reports Bush family wants to 'reclaim' Republican party,30K,2 months,Vice President JD Vance responds to reports that responds to reports former President George W. Bush's family wants to reclaim ...,2026-01-21 22:53:02.401163
/watch?v=G15SHDMksjo&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@MeidasTouch,MeidasTouch,GOP Leaders LOSE IT in PUBLIC as WORLD REBUKES TRUMP,546K,1 day,MeidasTouch host Ben Meiselas reports on Republican leaders completely losing it as Donald Trump's foreign policy is an utter ...,2026-01-21 22:53:02.402526
/watch?v=SWPMI9IWrQQ&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@Theusastream28,The USA Stream,MAGA Republican Hit This CNN Panel With the Truth #shorts,15K,1 day,MAGA Republican Hit Them With the Truth #scottjennings #abby #cnn #foxnews #conservative.,2026-01-21 22:53:09.524119
/watch?v=VLEdT_BxEDk&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@BenjaminRothove,Benjamin Rothove,Welcome to the Republican Party,38K,6 months,ronaldreagan #reagan #conservative #republican #gop #ussr #sovietunion #communism #socialism #capitalism.,2026-01-21 22:53:09.525451
/watch?v=YzVjpqmazZU&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@MegynKelly,Megyn Kelly,Megyn Kelly Unloads on the Republican Party After They Got Crushed in Elections From VA to NJ,354K,2 months,Megyn Kelly unloads on the Republican party after they got crushed in elections from VA to NJ. LIKE & SUBSCRIBE for new ...,2026-01-21 22:53:09.526923
/watch?v=gcdAwmVmWV8&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@Theusastream28,The USA Stream,Republican Guest Fact-Checked Smug CNN Panelist #shorts,16K,9 hours,Republican Guest Fact-Checked Smug CNN Panelist #scottjennings #abby #cnn #foxnews #conservative.,2026-01-21 22:53:09.528374
/watch?v=AYNnBOVuEi8&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@CNN,CNN,House Republicans grapple with Trump's Greenland threat,82K,13 days,House Republicans react to a statement from the White House that said using the military to acquire Greenland is an option.,2026-01-21 22:53:09.529660
/watch?v=lOZs_QaAZ2o&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@msnow,MS NOW,"Haves: GOP has to ""figure out what the party is"" without Trump",289K,2 months,Chris Hayes breaks down past elections when President Trump has been on and off the ticket and how that affects the Republican ...,2026-01-21 22:53:09.531284
/watch?v=uYkdTDJ6DFI&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@nowthisimpact,NowThis Impact,Indiana GOP Rejects Trump’s Gerrymander Plan,329K,1 month,Indiana's Republican-led Senate voted down a Trump-backed congressional map that would have turned Indiana into a 9-0 GOP ...,2026-01-21 22:53:09.532545
/watch?v=GK2P60N8K7w&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@FoxNews,Fox News,Trump slams Rep. Ilhan Omar as ‘crooked’ and claims she ‘never had a job’,187K,23 hours,"President Donald Trump skewers Rep. Ilhan Omar, D-Minn., over claims she is worth $30 million in press conference.",2026-01-21 22:53:09.533668
/watch?v=u7jyuA9HJ-Y&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@msnow,MS NOW,Republicans break with Trump in House and Senate votes,1.5M,10 days,Republican defections on key votes Thursday suggest President Donald Trump's grip on party loyalty may be starting to loosen.,2026-01-21 22:53:09.534923
/watch?v=6drUF6D8urc&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@FoxBusiness,Fox Business,Republicans have to 'get the ballots in the box': GOP lawmaker,4.8K,1 day,"Rep. Claudia Tenney, R-N.Y., and Fox News contributor Mollie Hemingway break down a Wall Street Journal poll showing ...",2026-01-21 22:53:09.536213
/watch?v=OURy5WFp0zk&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@PragerU,PragerU,The Inconvenient Truth About the Republican Party | 5 Minute Video | PragerU,4.3M,8 years,"When you think of the Republican Party, what comes to mind? If you're like many Americans, you may associate the GOP with ...",2026-01-21 22:53:09.537951
/watch?v=m1IeYEOzY3I&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@nowthisimpact,NowThis Impact,Here's How the Republican Party Has Bent to Donald Trump,191K,1 year,'I'm a never Trump guy' — JD Vance isn't the only GOP member who switched up on Trump. Here's how the president-elect has ...,2026-01-21 22:53:09.539658
/watch?v=Yfx2Fl4aPqw&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@FoxNews,Fox News,"Republicans are working to make lives better, Democrats are creating chaos: GOP rep",21K,2 months,"Reps. Brandon Gill, R-Texas, and Mike Lawler, R-N.Y., discuss a vote to end the government shutdown and what the Republican ...",2026-01-21 22:53:09.541139
/watch?v=T6FJ4n_L9_I&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@ForbesBreakingNews,Forbes Breaking News,"Donald Trump Jr.: 'This Isn't The Republican Party Anymore, It's The America First Party'",12K,4 weeks,"Speaking at a Turning Point USA event on Sunday, Donald Trump Jr. spoke about Charlie Kirk and slammed RINOs, claiming ...",2026-01-21 22:53:09.542315
/watch?v=iEsyARI_gzI&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@TheFederalBrief-Tv,The Federal Brief,Trump Turns on JD Vance | Republican Party Begins to Fracture,122K,4 days,The Republican Party is facing a quiet but dangerous internal collapse — and it's happening from the inside. Donald Trump is no ...,2026-01-21 22:53:09.543516
/watch?v=vf0-b--CXMs&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@bulwarkmedia,The Bulwark,"David Frum: ""The Republican Party is in real trouble""",370K,1 month,"""All the people whom Ben Shapiro is talking about are much crazier than they were half a decade ago. The economy is much ...",2026-01-21 22:53:09.544605
/watch?v=UA0GL6K72u4&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@HoustonPublicMedia,Houston Public Media,Republicans vs. Republicans: Texas GOP Civil War Over Closed Primaries,57K,6 days,This week's Party Politics Digital Update dives into growing Republican infighting in Texas. Republican Secretary of State Jane ...,2026-01-21 22:53:09.546778
/watch?v=SV_6GiwGzHc&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@thomaspolitics,Thomas Politics,AOC Destroys Rude Republican! #shorts,116K,2 days,Alexandria Ocasio-Cortez destroyed a rude republican from Louisiana for disrespecting a female witness #shorts #politics #aoc ...,2026-01-21 22:53:09.548043
/watch?v=HQjOCz4ZDtY&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@ForbesBreakingNews,Forbes Breaking News,'End Of His Presidency': GOP Lawmaker Issues Public Warning To Trump Over Invading Greenland,21K,5 days,"On CNN, Rep. Don Bacon (R-NE) warned President Trump not to attempt to take over Greenland through military force.",2026-01-21 22:53:17.632245
/watch?v=karUG5qvztw&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@nowthisimpact,NowThis Impact,Trump's Low Ratings: GOP's 2026 Risk,368K,2 months,Trump's historically low approval ratings could make 2026 a big year for the left.,2026-01-21 22:53:17.638941
/watch?v=AjtzXILke9I&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@KCRA,KCRA 3,California GOP takes legal action after voters approve Prop 50,75K,2 months,"California state Republicans have taken legal action after voters approved Prop 50, alleging the way congressional districts were ...",2026-01-21 22:53:17.644885
/watch?v=GjbQ78OQDFg&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@RebelHQ,Rebel HQ,GOP Voters TURN AGAINST Trump... Say They're Now VOTING BLUE!,58K,1 day,Get paid to use your phone less! Switch to Noble Mobile today: https://go.tyt.com/mobile Watch: Kristi Noem's Ignorance BLOWS ...,2026-01-21 22:53:17.646195
/watch?v=Cpfa-IdxPB0&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@PBSNewsHour,PBS NewsHour,Amy Walter and Jasmine Wright on Trump's control of GOP lawmakers,100K,1 day,Amy Walter of the Cook Political Report with Amy Walter and Jasmine Wright of NOTUS join Amna Nawaz to discuss the latest ...,2026-01-21 22:53:17.649975
/watch?v=HNF7IVqidHo&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@TheDailyConversation,TDC,The History of the Republican Party (1854-2016),180K,9 years,"The story of the GOP, from Abraham Lincoln to Donald Trump. Free audiobook: http://www.audibletrial.com/TheDailyConversation ...",2026-01-21 22:53:17.653510
/watch?v=7M9LV3EEak8&pp=ygUQcmVwdWJsaWNhbiBwYXJ0edIHCQmHCgGHKiGM7w%3D%3D,/@BloombergOpinion,Bloomberg Opinion,Is Trumpism the future of the Republican Party?,1.8K,5 months,What does the future of the #Republican Party look like? Bloomberg Opinion columnist Ron Brownstein offers an answer. #politics ...,2026-01-21 22:53:17.658404
/watch?v=ms_RYBIwgRA&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@CNN,CNN,Tennessee special election signals trouble for Republican party,128K,1 month,CNN's David Chalian breaks down how Republicans' narrow victory in a deep-red Tennessee congressional special election ...,2026-01-21 22:53:17.662947
/watch?v=3fVTNJeBdfs&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@FarronBalanced,Farron Balanced,Democrats Are CRUSHING Republicans In Latest Polls,36K,3 hours,Several new polls released in the past week have revealed that Democrats are absolutely crushing Republicans with party ...,2026-01-21 22:53:17.666463
/watch?v=GmKHr7EYUi4&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@bulwarkmedia,The Bulwark,Close to 40 prime-age Republicans are...leaving the House,51K,1 month,"Things are going so poorly in Congress that 40 members are retiring, resigning, or seeking office elsewhere. And most of them are ...",2026-01-21 22:53:17.667762
/watch?v=Vd0pSU66R8w&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@WCNC,WCNC,Mike Johnson tells SNAP recipients 'you have a home in the Republican Party',47K,2 months,"House Speaker Mike Johnson said Republicans would welcome anyone who has suffered during the government shutdown, ...",2026-01-21 22:53:17.671248
/watch?v=4gQOgGJMzR0&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@WashingtonPost,Washington Post,Marjorie Taylor Greene: Trump has ‘real problems’ with GOP,59K,1 month,"In a CNN interview on Dec. 16, Rep. Marjorie Taylor Greene (R-Georgia) said the “dam is breaking” for President Donald Trump's ...",2026-01-21 22:53:17.676970
/watch?v=KTV4w1FsG2o&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@EzraKleinShow,The Ezra Klein Show,The Republican Party’s Decay Began Long Before Trump,176K,1 year,There was no chance the Republican Party was going to replace Trump as their nominee at this point. Trump has essentially ...,2026-01-21 22:53:17.678298
/watch?v=690b1qy69eo&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@WKYCChannel3,WKYC Channel 3,Trump rails against the Republican Party after Tuesday's election results,13K,2 months,"(AP) Hours after voters in major races across the country backed Democrats, rebuking his performance, President Donald Trump ...",2026-01-21 22:53:17.681579
/watch?v=2k-WUOjACiQ&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@DailyCallerVideo,TheDC Shorts,"Poll Shows Republicans Lead on the Economy, Immigration, and Foreign Policy",38K,1 day,"Poll Shows Republicans Lead on the Economy, Immigration, and Foreign Policy.",2026-01-21 22:53:17.684858
/watch?v=uTjNb5tIGV8&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@therealnews,The Real News Network,Republicans brush off questions about Epstein files & Renee Good's killing,2.8K,1 day,"Reporting from Capitol Hill, reporters Taya Graham and Stephen Janis ask Congressional Republicans about their stance on ...",2026-01-21 22:53:17.686131
/watch?v=srkZT-11NVE&pp=ygUQcmVwdWJsaWNhbiBwYXJ0edIHCQmHCgGHKiGM7w%3D%3D,/@TheYoungTurks,The Young Turks,MTG Threatens Exit From Republican Party!,215K,5 months,MAGA Rep. Marjorie Taylor Greene is having trouble identifying as a Republican. Cenk Uygur and Ana Kasparian discuss on The ...,2026-01-21 22:53:17.689410
/watch?v=lZSg5HyIeaI&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@CNN,CNN,Senate GOP derails plans to limit Trump's war powers in Venezuela,397K,6 days,Senate Republicans blocked an effort to curb the Trump administration's military action in Venezuela. CNN's Manu Raju breaks it ...,2026-01-21 22:53:17.693270
/watch?v=MHo9suGzElI&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@nowthisimpact,NowThis Impact,Even Greene Says GOP Has No Plan,236K,2 months,"GOP Rep. Marjorie Taylor Greene is breaking with her party on health care — because, as Trump said, they only have 'concepts ...",2026-01-21 22:53:17.697577
/watch?v=DYW5nPXQc7M&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@PBSNewsHour,PBS NewsHour,Tamara Keith and Amy Walter on a fractured Republican Party,181K,4 weeks,NPR's Tamara Keith and Amy Walter of the Cook Political Report with Amy Walter join William Brangham to discuss the latest ...,2026-01-21 22:53:25.384492
/watch?v=GJiGFNPK32I&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@CBSMornings,CBS Mornings,Meet the Montana GOP lawmakers who were kicked out of their party for voting with Democrats,694K,3 weeks,"In April, nine GOP state senators from Montana were censured for voting with Democrats. Jo Ling Kent speaks with some of them ...",2026-01-21 22:53:25.385905
/watch?v=r1OQzibbv5k&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@WonderScience.,Wonder Science,Democrats vs. Republicans | Neil deGrasse Tyson,80K,2 years,neildegrassetyson #politics #democrats #republicans Neil deGrasse Tyson discusses how political truths can change and evolve ...,2026-01-21 22:53:25.387101
/watch?v=YiLehE610OU&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@DailyCallerVideo,TheDC Shorts,CNN Reveals Polling That Trump Is Still Very Popular Among Republicans,85K,1 day,CNN Reveals Polling That Trump Is Still Very Popular Among Republicans.,2026-01-21 22:53:25.388402
/watch?v=fJxvO1qF3Y8&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@WTKR3,WTKR News 3,"Gov. Spanberger’s first joint legislative address, GOP responds",1K,22 hours,Gov. Abigail Spanberger addressed a joint session of state lawmakers Monday in her first speech since being inaugurated as ...,2026-01-21 22:53:25.389600
/watch?v=o_7bh-1Y2uk&pp=ygUQcmVwdWJsaWNhbiBwYXJ0edIHCQmHCgGHKiGM7w%3D%3D,/@bulwarkmedia,The Bulwark,Moskowitz grills GOP over giving Oath Keepers head a reserved seat,1.4M,6 days,short.,2026-01-21 22:53:25.391057
/watch?v=OtRXl_9uWcM&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@ajplus,AJ+,Is The Republican Party A White Nationalist Party?,89K,5 years,"While some politicians may see President Trump as the reason behind the rise of white nationalism, it's not that simple. The GOP ...",2026-01-21 22:53:25.392781
/watch?v=hX_z_HEKRdM&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@jubilee,Jubilee,Anti-Trump Republicans debate MAGA Republicans on #middleground #debate #politics #republican,52K,1 month,Hey you Wanna be in a Jubilee video? https://bit.ly/be-in-a-video LET'S BE FRIENDS Instagram: ...,2026-01-21 22:53:25.393936
/watch?v=EgfFtTrxzO4&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@thehill,The Hill,Tucker Carlson EVISCERATES GOP Establishment For Straying From 'America FIRST' | RISING,14K,1 month,"Tucker Carlson recently spoke out against the Republican Party, saying that even thought they're the party in power, he doesn't ...",2026-01-21 22:53:25.395190
/watch?v=OolV0n4MdvE&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@FoxNews,Fox News,BREAKING: Trump cites 2 BIG reasons for GOP election losses,215K,2 months,President Trump said Wednesday that the government shutdown was partly to blame after Republican losses in New Jersey and ...,2026-01-21 22:53:25.396371
/watch?v=RvByDQU5j1Q&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@thedavidpakmanshow,David Pakman Show,Republicans are saying NO to Trump,83K,2 days,... a Member: https://www.davidpakman.com/membership [https://finance.yahoo.com/news/2-key-gop-senators-push-back-on-fed- ...,2026-01-21 22:53:25.397618
/watch?v=pmEeSrr2Cuo&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@msnow,MS NOW,Trump posts late night social media rants over nationwide GOP election losses,708K,2 months,"In a flurry of social media posts Tuesday night, President Trump weighed in on why Republicans lost across the board on Election ...",2026-01-21 22:53:25.398765
/watch?v=fWR22IUOt4c&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@CBSNews,CBS News,"Republicans, Democrats travel overseas to discuss Greenland",19K,5 days,"Lawmakers from both sides of the aisle traveled to Copenhagen, Denmark, to speak with officials about Greenland and President ...",2026-01-21 22:53:25.401571
/watch?v=64Wp9kcXt78&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@nowthisimpact,NowThis Impact,Greene Turns on GOP,46K,2 months,GOP Rep. Marjorie Taylor Greene says she's 'beyond pissed' at the men in the Republican Party for failing to prevent the ...,2026-01-21 22:53:25.402794
/watch?v=nqy4OR09Ge8&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@TimcastIRL,Timcast IRL,"Republican Party Is Dead, Democrats Dominate GOP On Election Day",132K,2 months,CULTURE WAR LIVE TICKETS HERE: https://www.dccomedyloft.com/shows/334903 SUPPORT THE SHOW BUY CAST BREW ...,2026-01-21 22:53:25.406145
/watch?v=RzqbgaMM1ZM&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@RepClaudiaTenneyNY24,Congresswoman Claudia Tenney,Joining Kudlow to Discuss Republican Policy Wins,16K,2 days,... so the Republican party has a lot going for it also they have the Democrat party doing things like embracing anti- police anti-law ...,2026-01-21 22:53:25.407487
/watch?v=Dsmc9m2Czao&pp=ygUQcmVwdWJsaWNhbiBwYXJ0edIHCQmHCgGHKiGM7w%3D%3D,/@FoxBusiness,Fox Business,CAPITOL CLASH: Obamacare war IGNITED inside the Republican party,6.4K,12 days,"Rep. Buddy Carter, R-Ga., joins 'Varney & Co.' to sound off on Republicans defying President Donald Trump over Obamacare ...",2026-01-21 22:53:25.408795
/watch?v=y4rNev03r_U&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@CNN,CNN,Marjorie Taylor Greene says Republican voters are sick and tired of GOP,91K,2 years,Rep. Marjorie Taylor Greene (R-GA) tells CNN's Manu Raju that Republican voters are “sick and tired” of Republican politicians.,2026-01-21 22:53:25.410410
/watch?v=HHSj24ZiRRs&pp=ygUQcmVwdWJsaWNhbiBwYXJ0edIHCQmHCgGHKiGM7w%3D%3D,/@BuzWeaver,BuzWeaver,CNN Harry Enten Says Trump's The King Maker,No,5 hours,"Trump Kingmaker, GOP Primaries, CNN Polling, Harry Enten, Trump Endorsement, Republican Base, Trump Approval Rating, ...",2026-01-21 22:53:25.411732
